transaction_id,order_id,transaction_date,store_id,product_id,product_category,product_subcategory,quantity,unit_price,discount_rate,unit_cost,year,month,order_units,order_lines,list_revenue,discount_amount,net_revenue,cogs,gross_profit,gross_margin_pct,base_unit_price,base_unit_cost,base_discount_rate,base_margin_pct,unit_cost_change_pct,list_price_change_pct,discount_change_pp,margin_delta_pp
TXN001832,ORD062504,2025-01-01,S005,P015,Kitchenware,Cookware,2,61.48,0.0215,30.26,2025,1,4.0,2,122.96,2.6436399999999995,120.31636,60.52,59.79636,49.699276141665194,60.3335337758688,29.255814135103474,0.030854513359226968,49.96608946396777,3.432431790341539,1.9002139480013946,-0.9354513359226969,-0.2668133223025748
TXN001865,ORD048194,2025-01-01,S003,P022,Kitchenware,Small Appliances,1,138.62,0.0279,98.59,2025,1,1.0,1,138.62,3.8674980000000003,134.752502,98.59,36.16250199999999,26.83623789041037,136.06316147511637,94.53243107769423,0.02984621316035987,28.385710791836797,4.292250686931931,1.8791556047675906,-0.19462131603598698,-1.5494729014264266
TXN002555,ORD035680,2025-01-01,S025,P011,Electronics,Home Tech,1,229.83,0.0362,154.74,2025,1,1.0,1,229.83,8.319846000000002,221.510154,154.74,66.77015399999999,30.143157229713267,222.35559526084467,146.0986489585324,0.031005934005801684,32.192611262504684,5.9147371334832055,3.3614646532223125,0.5194065994198318,-2.0494540327914166
TXN003053,ORD056681,2025-01-01,S011,P025,Furniture,Living Room,1,307.48,0.024,200.81,2025,1,1.0,1,307.48,7.37952,300.10048,200.81,99.29048,33.085745147758516,294.5735783475783,195.9000113960114,0.03044600273323768,31.40875755074818,2.5063748434720923,4.381391476051855,-0.6446002733237678,1.676987597010335
TXN004354,ORD028477,2025-01-01,S020,P010,Electronics,Home Tech,4,256.81,0.0455,168.27,2025,1,5.0,2,1027.24,46.73942,980.50058,673.08,307.42058,31.353431733819065,249.67862848530518,155.72728334589294,0.030162984069891333,35.689100868296954,8.054283350110115,2.8562202371736234,1.5337015930108666,-4.3356691344778895
TXN006007,ORD025416,2025-01-01,S005,P003,Electronics,Accessories,1,94.54,0.0127,54.29,2025,1,2.0,2,94.54,1.200658,93.339342,54.29,39.049342,41.83588737962177,91.30251998002007,53.144493006993,0.03134317780066588,39.90953532601129,2.155457561437779,3.545882436419512,-1.8643177800665882,1.9263520536104792
TXN009308,ORD062682,2025-01-01,S017,P024,Kitchenware,Small Appliances,3,101.21,0.0283,72.37,2025,1,3.0,1,303.63,8.592729,295.037271,217.11,77.92727099999996,26.412687026243532,97.49157593123205,67.87231518624642,0.030670338872861257,28.178566227487057,6.62668541865945,3.8140978164008965,-0.23703388728612584,-1.765879201243525
TXN009438,ORD063079,2025-01-01,S018,P016,Kitchenware,Cookware,1,143.38,0.0552,66.02,2025,1,1.0,1,143.38,7.914575999999999,135.46542399999998,66.02,69.44542399999999,51.26431671597617,142.63065391733497,64.73702447049145,0.030536336171213197,53.182488641560134,1.9818265359004217,0.5253751995691891,2.46636638287868,-1.9181719255839624
TXN010627,ORD018268,2025-01-01,S016,P003,Electronics,Accessories,2,95.19,0.042,55.89,2025,1,4.0,2,190.38,7.99596,182.38404,111.78,70.60404,38.7117425406302,91.30251998002007,53.144493006993,0.03134317780066588,39.90953532601129,5.166117574300189,4.257801450420695,1.0656822199334122,-1.1977927853810897
TXN011839,ORD013400,2025-01-01,S020,P016,Kitchenware,Cookware,1,145.65,0.0304,66.4,2025,1,1.0,1,145.65,4.42776,141.22224,66.4,74.82224,52.98190993146688,142.63065391733497,64.73702447049145,0.030536336171213197,53.182488641560134,2.5688167522536887,2.116898436443382,-0.013633617121319719,-0.20057871009325368
TXN012464,ORD006233,2025-01-01,S011,P028,Furniture,Bedroom,4,339.35,0.0579,210.84,2025,1,4.0,1,1357.4,78.59346000000001,1278.80654,843.36,435.44654,34.05100977979046,332.0011139240505,200.10177215189873,0.030791799243365874,37.81375781925755,5.3663831822287955,2.2135124756330393,2.7108200756634124,-3.762748039467091
